Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
cefc75bc85b6c1275d1c966301ed32bf	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Acremonium	s__Acremonium_spinosum
b728d9bcd66e9718264575d067d3aaf2	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__unidentified
37eb9673b7896bf5451d8161db4e97cf	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
fe97860a90be3f13593117ed435a45c4	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Arthrobotrys	s__Arthrobotrys_elegans
e158949f50861b32b9cde110853c5ea1	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__NA	f__NA	g__NA	s__NA
b41043e254562989ca03250a06d8fe0a	k__Fungi	p__Rozellomycota	c__Rozellomycotina_cls_Incertae_sedis	o__GS10	f__unidentified	g__unidentified	s__unidentified
cca261c1d0d867edadc4412a463f44b1	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
1509da4e24b990de834e7d874f2da1c7	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__naganishia	s__NA
b4ad8f87d1e6b9f8a739214c8b88c48a	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
0c8430ebae7ddb1573cabd91ac0b78e8	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__NA	s__NA
1b4cd287d823c6d26397da22fb11d0a4	k__Fungi	p__Rozellomycota	c__NA	o__NA	f__NA	g__NA	s__NA
ac56e16b3e2b9e5369e341119ee376a9	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__NA	f__NA	g__NA	s__NA
bfa656da5d0f6a0402d5fc7cf0a5b93d	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__NA	g__NA	s__NA
af4d8b998f4adc61654a23c044795d8b	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
f07d268b2467a0b18b54a9ad5155a95d	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
8acf05ab071a6a86febd52e4530dc1f0	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
c8692f84122d3d228a308066b020e711	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Rhizopogonaceae	g__Rhizopogon	s__Rhizopogon_roseolus
fa927e73713251f02b65fd93f0641e2b	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
ded56f55ce82b32ca4d2ed32ba2d5baf	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
6f2791989234536318eb542a0b4f18ed	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
a1614151c9108bd6012eb2bcc5640642	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
a261951bae7f8e64adc1b7f73c5b3ebc	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
ced8f04704dfc709e70c1174636e2e0a	k__Fungi	p__unidentified	c__unidentified	o__unidentified	f__unidentified	g__unidentified	s__unidentified
31547fee94b9e65780f01d9f049df8ba	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
9f720b5bb155c5b96334314a4230b068	k__Fungi	p__Ascomycota	c__NA	o__NA	f__NA	g__NA	s__NA
2c7958c24fc930bf29e90d239482092d	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
51d158f365a3d1cc574af7997a0fcd22	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__Exophiala_xenobiotica
9c254b31147edf2c02ebd15f6958c6db	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__NA	g__NA	s__NA
ecd736aec3fd0039f48c4fa7d35fde4a	k__Fungi	p__NA	c__NA	o__NA	f__NA	g__NA	s__NA
